"","actor","talk_time_igc1_MGR","talk_time_igc1_ABMT","talk_time_igc1_EIA","talk_time_igc1_CBTT","talk_time_igc1_crosscutting","talk_time_igc1_other","talk_time_igc2_MGR","talk_time_igc2_ABMT","talk_time_igc2_EIA","talk_time_igc2_CBTT","talk_time_igc2_crosscutting","talk_time_igc2_other","talk_time_igc3_MGR","talk_time_igc3_ABMT","talk_time_igc3_EIA","talk_time_igc3_CBTT","talk_time_igc3_crosscutting","talk_time_igc3_other","talk_fr_igc1_MGR","talk_fr_igc1_ABMT","talk_fr_igc1_EIA","talk_fr_igc1_CBTT","talk_fr_igc1_Cross.Cutting","talk_fr_igc2_MGR","talk_fr_igc2_ABMT","talk_fr_igc2_EIA","talk_fr_igc2_CBTT","talk_fr_igc2_Cross.Cutting","talk_fr_igc3_MGR","talk_fr_igc3_ABMT","talk_fr_igc3_EIA","talk_fr_igc3_CBTT","talk_fr_igc3_Cross.Cutting","host_side_event_igc1","host_side_event_igc2","host_side_event_igc3","sci_fr_igc1_MGR","sci_fr_igc1_ABMT","sci_fr_igc1_EIA","sci_fr_igc1_CBTT","sci_fr_igc1_crosscutting","sci_fr_igc2_MGR","sci_fr_igc2_ABMT","sci_fr_igc2_EIA","sci_fr_igc2_CBTT","sci_fr_igc2_crosscutting","sci_fr_igc3_MGR","sci_fr_igc3_ABMT","sci_fr_igc3_EIA","sci_fr_igc3_CBTT","sci_fr_igc3_crosscutting","frq_sci1","frq_sci2","frq_sci3","total_frq_sci","total_time","agg_total_time","agg_frq_sci","participants_CBD_cop18","participants_BBNJ_igc1","participants_BBNJ_igc2","participants_BBNJ_igc3","total_publications","total_citations","talk_time_MGR","talk_time_ABMT","talk_time_EIA","talk_time_CBTT","talk_time_crosscutting","2014_expenditure_rd","2015_expenditure_rd","2016_expenditure_rd","2017_expenditure_rd","2018_expenditure_rd","2019_expenditure_rd","2014_expenditure_rd_pc","2015_expenditure_rd_pc","2016_expenditure_rd_pc","2017_expenditure_rd_pc","2018_expenditure_rd_pc","2019_expenditure_rd_pc","X","represents_alliance","alliance","avg_citation","degree_centrality","eigen_centrality","member_alliance","PSIDS","CLAM","AOSIS","CARICOM","Least_Developed","Non_UNCLOS_Party","African_Group","G77_and_China","EU","region","continent","maripoldata_regions","Country"
"11","australia",0,465,0,194,0,145,927,1551,1312,968,1212,0,560,395,318,324,1949,151,0,0,0,1,1,3,4,6,4,5,8,3,4,5,23,0,0,0,1,1,0,1,1,1,1,0,1,1,1,3,0,1,2,4,4,7,15,9516,9516,15,0,6,8,8,1925,71969,1487,2411,1630,1486,3161,NA,21151512.23238,NA,22555231.73314,NA,NA,NA,883.79862,NA,917.45293,NA,NA,9,"australia","australia",37.3864935064935,24515,0.650438065098478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia and New Zealand","Oceania","Oceania","Australia"
"12","austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,23,3,2,2,120,2755,NA,NA,NA,NA,NA,12863318.21477,13146956.10688,14331295.60752,14655011.22837,15962535.12902,16846409.78799,1493.09329,1514.86014,1638.36772,1661.58455,1795.28046,1881.20803,NA,NA,"EU",22.9583333333333,2233,0.0454462329215482,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Western Europe","Europe","Europe","Austria"
"13","azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,9,1,2,2,0,8,6,NA,NA,NA,NA,NA,348925.08987,320471.0984,289393.30524,256987.70807,266251.21201,NA,36.70723,33.3035,29.72391,26.10252,26.76016,NA,NA,NA,"azerbaijan",0.75,179,0.00152488861864424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Azerbaijan"
"14","bahamas",0,429,0,70,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,659,9483,25,0,7,7,10,3,8,0,429,0,729,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"CARICOM","CARICOM",2.66666666666667,111,0.00457657833517568,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"15","bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,5,34,NA,NA,NA,NA,NA,69067.70827,NA,NA,NA,NA,NA,51.69448,NA,NA,NA,NA,NA,NA,NA,"bahrain",6.8,60,0.00137683355023175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Bahrain"
"16","bangladesh",179,0,0,453,183,0,212,309,0,112,510,0,0,128,150,45,140,246,1,1,0,2,1,1,2,0,1,2,0,1,2,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,3,1606,1606,3,5,4,4,5,18,153,391,437,150,610,833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,"Least Developed","Least Developed",8.5,170,0.00355351231856085,"Least Developed",NA,NA,NA,NA,"Least Developed",NA,NA,NA,NA,"Southern Asia","Asia","Asia",NA
"17","barbados",972,0,0,0,0,299,1384,0,0,0,0,504,571,0,0,0,51,627,4,4,0,0,1,5,0,0,0,2,6,0,0,0,4,0,0,0,3,0,0,0,2,4,0,0,0,2,4,0,0,0,2,5,6,6,17,2006,9483,25,0,4,5,5,8,148,2927,0,0,0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"CARICOM","CARICOM",18.5,71,0.00249478626754096,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"18","belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,26,NA,NA,NA,NA,NA,907831.28337,856010.98774,843171.69944,1014188.12661,1108071.47159,NA,96.25284,90.68467,89.26568,107.31887,117.22378,NA,NA,NA,"belarus",26,116,0.00131336152519899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Europe","Europe","Europe","Belarus"
"19","belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,24,7,8,11,318,9678,NA,NA,NA,NA,NA,11935862.15687,12651165.81477,13894268.26614,15355548.53994,16513336.42561,NA,1063.68563,1120.76834,1223.68807,1344.64863,1438.17109,NA,NA,NA,"EU",30.4339622641509,7360,0.173572112354276,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Western Europe","Europe","Europe","Belgium"
"20","belize",91,401,0,0,0,0,178,1373,0,782,962,341,0,638,0,0,243,554,1,1,0,0,0,1,5,0,4,4,0,3,0,0,4,0,2,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,2,2,2,6,4176,4176,6,4,5,3,6,2,57,269,2412,0,782,1205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"AOSIS","AOSIS",28.5,66,0.00165908532601989,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
