"","actor","talk_time_igc1_MGR","talk_time_igc1_ABMT","talk_time_igc1_EIA","talk_time_igc1_CBTT","talk_time_igc1_crosscutting","talk_time_igc1_other","talk_time_igc2_MGR","talk_time_igc2_ABMT","talk_time_igc2_EIA","talk_time_igc2_CBTT","talk_time_igc2_crosscutting","talk_time_igc2_other","talk_time_igc3_MGR","talk_time_igc3_ABMT","talk_time_igc3_EIA","talk_time_igc3_CBTT","talk_time_igc3_crosscutting","talk_time_igc3_other","talk_fr_igc1_MGR","talk_fr_igc1_ABMT","talk_fr_igc1_EIA","talk_fr_igc1_CBTT","talk_fr_igc1_Cross.Cutting","talk_fr_igc2_MGR","talk_fr_igc2_ABMT","talk_fr_igc2_EIA","talk_fr_igc2_CBTT","talk_fr_igc2_Cross.Cutting","talk_fr_igc3_MGR","talk_fr_igc3_ABMT","talk_fr_igc3_EIA","talk_fr_igc3_CBTT","talk_fr_igc3_Cross.Cutting","host_side_event_igc1","host_side_event_igc2","host_side_event_igc3","sci_fr_igc1_MGR","sci_fr_igc1_ABMT","sci_fr_igc1_EIA","sci_fr_igc1_CBTT","sci_fr_igc1_crosscutting","sci_fr_igc2_MGR","sci_fr_igc2_ABMT","sci_fr_igc2_EIA","sci_fr_igc2_CBTT","sci_fr_igc2_crosscutting","sci_fr_igc3_MGR","sci_fr_igc3_ABMT","sci_fr_igc3_EIA","sci_fr_igc3_CBTT","sci_fr_igc3_crosscutting","frq_sci1","frq_sci2","frq_sci3","total_frq_sci","total_time","agg_total_time","agg_frq_sci","participants_CBD_cop18","participants_BBNJ_igc1","participants_BBNJ_igc2","participants_BBNJ_igc3","total_publications","total_citations","talk_time_MGR","talk_time_ABMT","talk_time_EIA","talk_time_CBTT","talk_time_crosscutting","2014_expenditure_rd","2015_expenditure_rd","2016_expenditure_rd","2017_expenditure_rd","2018_expenditure_rd","2019_expenditure_rd","2014_expenditure_rd_pc","2015_expenditure_rd_pc","2016_expenditure_rd_pc","2017_expenditure_rd_pc","2018_expenditure_rd_pc","2019_expenditure_rd_pc","X","represents_alliance","alliance","avg_citation","degree_centrality","eigen_centrality","member_alliance","PSIDS","CLAM","AOSIS","CARICOM","Least_Developed","Non_UNCLOS_Party","African_Group","G77_and_China","EU","region","continent","maripoldata_regions","Country"
"31","cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606,3,8,0,0,0,3,19,NA,NA,NA,NA,NA,NA,62189.15788,NA,NA,NA,NA,NA,4.00666,NA,NA,NA,NA,NA,NA,"cambodia",6.33333333333333,121,0.00244675162094947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South-eastern Asia","Asia",NA,"Cambodia"
"32","cameroon",0,0,0,0,326,0,0,122,665,102,174,184,157,70,105,0,316,142,0,0,0,0,1,0,1,4,1,2,2,1,1,0,5,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,2,2,2,6,1711,10597,20,10,0,3,3,4,27,157,192,770,102,816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"cameroon","African Group",6.75,49,0.00097171526340918,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"33","canada",789,1083,249,353,252,419,691,1859,2446,896,1877,601,462,1195,1143,527,2335,614,3,3,1,2,2,3,4,6,4,7,3,4,8,4,21,0,2,0,1,3,2,0,2,1,3,2,0,2,1,4,2,0,3,8,8,10,26,13431,13431,26,36,9,9,7,962,39558,1942,4137,3838,1776,4464,27793536.51539,27005522.4182,29014760.93647,29659610.07225,29003309.56168,29771742.4356,779.30894,749.59795,797.48249,807.45762,782.29676,795.80083,16,"canada","canada",41.1205821205821,13364,0.389019661139583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern America","Americas","North America","Canada"
"34","caricom",1233,429,0,749,0,299,1384,0,1861,925,1411,504,571,0,1064,279,1988,627,5,5,0,5,1,5,0,8,5,7,6,0,9,5,21,1,1,0,4,1,0,1,2,5,0,0,1,2,5,0,0,1,3,8,8,9,25,9483,9483,25,NA,NA,NA,NA,NA,NA,3188,429,2925,1953,3399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"CARICOM","caricom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","central african republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,3,0,0,0,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",3.5,17,0.000282015419620183,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"36","chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,72834.28573,NA,NA,NA,NA,NA,5.00178,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Chad"
"37","chile",234,603,0,622,0,0,467,0,138,0,0,208,0,0,0,0,0,657,2,2,0,3,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,605,13259,79,3,7,6,8,264,5523,701,603,138,622,0,1517641.2804,1552182.00081,1527337.39685,1556368.31974,NA,NA,85.45778,86.3794,83.87785,84.26266,NA,NA,20,"CLAM","CLAM",20.9204545454545,4012,0.108317068761903,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Chile"
"38","china",1360,708,150,969,0,0,1396,2017,1210,630,968,470,696,994,682,399,3192,535,5,5,1,5,0,5,4,7,4,5,5,4,5,4,20,0,0,0,3,4,0,2,2,3,4,0,1,2,3,3,1,1,3,11,10,11,32,12184,12184,32,39,19,18,16,1440,17964,3452,3719,2042,1998,4160,346266282.70382,366080932.15627,393015494.45128,420815584.16342,465162264.57134,NA,247.42956,260.21359,277.93619,296.13591,325.82425,NA,21,"china","china",12.475,5765,0.148000742377862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Asia","Asia","Asia","China"
"39","clam",6112,4705,133,2467,249,1022,1765,1344,1571,747,1387,1074,1007,574,729,521,3614,1780,20,20,1,13,5,8,5,7,3,11,9,4,4,5,41,0,0,2,13,6,0,5,4,13,3,0,5,4,13,3,0,5,5,28,25,26,79,13259,13259,79,NA,NA,NA,NA,NA,NA,8884,6623,2433,3735,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"CLAM","CLAM",NA,NA,NA,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","colombia",1680,305,0,99,0,0,265,0,0,0,1387,205,0,0,0,0,2032,408,4,4,0,1,0,2,0,0,0,6,0,0,0,0,21,0,0,0,3,1,0,0,1,3,0,0,0,1,3,0,0,0,1,5,4,4,13,3684,13259,79,6,5,3,6,66,471,1945,305,0,99,3419,1910249.92262,1826591.21219,1794113.17562,1700266.57515,1743278.11898,NA,40.67157,38.43783,37.24154,34.76328,35.10353,NA,24,"CLAM","CLAM",7.13636363636364,1047,0.0248192641556995,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Colombia"
"41","comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,1,0,0,0,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",27,28,0.000543310469831149,"African Group",NA,NA,"AOSIS",NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"42","cook islands",0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,4176,6,1,0,1,1,NA,NA,0,77,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"cook islands","AOSIS",NA,NA,NA,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Polynesia","Oceania","Oceania",NA
"43","costa rica",254,636,0,273,0,0,0,0,0,0,0,0,0,390,0,0,192,203,1,1,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2,2,2,6,582,13259,79,16,8,8,8,40,1381,254,1026,0,273,192,428601.16563,361778.6579,402731.47691,416909.68995,380412.15088,NA,89.37764,74.62733,82.20109,84.22496,76.09094,NA,27,"CLAM","CLAM",34.525,723,0.018658018004819,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Costa Rica"
"44","cote divoire",0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10597,20,5,1,4,0,NA,NA,0,160,0,0,0,NA,NA,79274.20368,NA,NA,NA,NA,NA,3.32767,NA,NA,NA,28,"cote divoire","African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Côte d'Ivoire"
"45","croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,3,3,3,7,85,710,NA,NA,NA,NA,NA,732218.02108,812679.43793,890604.18299,946291.29697,1113997.43673,NA,172.06344,191.99235,211.61521,226.23085,268.01946,NA,NA,NA,"EU",8.35294117647059,1615,0.0238986380981013,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Southern Europe","Europe","Europe","Croatia"
"46","cuba",0,0,0,0,0,0,584,33,102,0,0,164,319,462,0,62,685,0,0,0,0,0,0,2,1,1,0,1,2,2,0,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,4,2247,4176,6,2,4,5,4,9,244,903,495,102,62,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"cuba","AOSIS",27.1111111111111,146,0.00278984796311318,"AOSIS",NA,NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"47","cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,NA,4,4,5,5,12,NA,NA,NA,NA,NA,131704.31339,128643.54768,157785.42334,178530.52177,189408.83448,NA,155.49359,151.64525,184.5871,206.57612,216.24506,NA,NA,NA,"EU",2.4,1085,0.0126916635794687,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Western Asia","Asia","Asia","Cyprus"
"48","czech republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,4,5,5,4,76,1746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU",22.9736842105263,1769,0.0324265830446721,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Eastern Europe","Europe","Europe",NA
"49","democratic republic of the congo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1606,3,14,0,0,2,1,4,NA,NA,NA,NA,NA,NA,280543.73895,NA,NA,NA,NA,NA,3.67953,NA,NA,NA,NA,NA,NA,"democratic republic of the congo",4,10,0.000212860190234929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sub-Saharan Africa","Africa","Africa","Democratic Republic of the Congo"
"50","denmark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,9,5,6,5,228,6398,NA,NA,NA,NA,NA,7877687.01405,8517954.04248,9207024.51723,9682644.6942,10054210.494,NA,1390.78644,1497.34764,1612.05777,1689.14548,1747.91208,NA,NA,NA,"EU",28.0614035087719,5269,0.119256431948936,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Northern Europe","Europe","Europe","Denmark"
"51","djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,2,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"52","dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9483,25,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CARICOM",1,2,5.61380205054938e-05,"CARICOM",NA,NA,"AOSIS","CARICOM",NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"53","dominican republic",0,0,0,0,0,0,0,0,0,0,0,170,135,184,0,0,133,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3,452,13259,79,3,4,3,0,NA,NA,135,184,0,0,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,"CLAM","CLAM",NA,NA,NA,"CLAM",NA,"CLAM","AOSIS",NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America",NA
"54","ecuador",447,0,0,0,301,154,0,95,0,0,0,412,155,133,118,0,330,441,2,2,0,0,2,0,1,0,0,2,1,2,1,0,6,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2,2,2,3,7,831,831,7,12,7,5,9,16,105,602,228,118,0,631,827103.83382,NA,NA,NA,NA,NA,51.85006,NA,NA,NA,NA,NA,36,"ecuador","ecuador",6.5625,872,0.0256801071158879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","Ecuador"
"55","egypt",1237,645,378,374,619,0,0,0,0,0,0,0,0,0,0,0,0,215,4,4,2,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,1,1,3,2,1,1,1,3,2,1,1,1,8,8,8,24,0,10597,20,228,4,4,2,66,679,1237,645,378,374,619,6271104.21714,7647413.20666,7489218.73362,7217165.67653,8289299.43886,NA,69.35171,82.72612,79.2954,74.8338,84.22065,NA,37,"G77/China","African Group",10.2878787878788,766,0.0136077499357603,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Northern Africa","Africa","Africa","Egypt"
"56","el salvador",52,0,0,0,93,0,0,0,0,0,0,0,0,0,0,206,309,46,1,1,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,13259,79,4,5,7,4,2,1,52,0,0,206,402,42699.06261,68952.85147,74050.09986,97630.16646,93260.71336,NA,6.78287,10.90142,11.65016,15.28307,14.5249,NA,38,"CLAM","CLAM",0.5,37,0.00130901439382755,"CLAM",NA,"CLAM",NA,NA,NA,NA,NA,NA,NA,"Latin America and the Caribbean","Americas","Latin America","El Salvador"
"57","equatorial guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"58","eritrea",0,0,0,0,477,0,815,1068,520,537,0,669,81,639,280,0,384,238,0,0,0,0,1,2,2,2,2,2,1,2,2,0,3,0,0,0,2,2,1,0,2,2,2,1,0,2,2,2,1,0,2,7,7,7,21,4324,10597,20,1,0,4,5,NA,NA,896,1707,800,537,861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,"eritrea","African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"59","estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,5,5,5,6,54,913,NA,NA,NA,NA,NA,544204.6727,563352.65967,512102.62511,570285.98628,675022.06075,NA,413.44236,428.29921,388.98499,432.23458,510.25161,NA,NA,NA,"EU",16.9074074074074,1110,0.0178577786933557,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Northern Europe","Europe","Europe","Estonia"
"60","ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,11,0,2,2,8,31,NA,NA,NA,NA,NA,NA,NA,NA,590156.41218,NA,NA,NA,NA,NA,5.54659,NA,NA,NA,NA,"African Group",3.875,36,0.00065847655108819,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Ethiopia"
"61","eu",2532,3762,1184,2608,0,928,3398,5558,6592,3236,5240,2080,3206,1486,3594,1604,6846,1778,8,8,2,10,2,10,8,16,8,20,18,8,14,12,66,0,0,0,10,6,8,4,4,10,8,10,4,6,10,6,10,4,6,32,38,36,106,40760,40760,106,NA,NA,9,12,NA,NA,9136,10806,11370,7448,12086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"eu","eu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","federated states of micronesia",825,737,103,1147,0,0,692,3083,645,367,0,753,0,954,0,0,585,415,3,3,1,4,0,3,5,3,1,2,0,4,0,0,4,0,1,0,1,4,0,1,1,1,5,0,1,3,1,4,0,1,1,7,10,7,24,6326,18284,83,2,7,6,7,1,3,1517,4774,748,1514,585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,"PSIDS","AOSIS",3,53,0.00157486885815556,"AOSIS","PSIDS",NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Micronesia","Oceania","Oceania",NA
"63","fiji",722,347,0,231,0,391,1814,0,0,0,0,273,1029,0,0,0,116,594,2,2,0,1,1,7,0,0,0,1,11,0,0,0,4,0,0,0,3,1,0,0,2,3,1,0,0,2,3,1,0,0,2,6,6,6,18,2959,18284,83,1,8,8,15,10,146,3565,347,0,231,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,"PSIDS","AOSIS",14.6,208,0.00663729000800186,"AOSIS","PSIDS",NA,"AOSIS",NA,NA,NA,NA,NA,NA,"Melanesia","Oceania","Oceania",NA
"64","finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,106,28,5,5,5,240,5951,NA,NA,NA,NA,NA,7178161.61638,6689667.48356,6726682.89095,7149077.70273,7504359.54344,NA,1314.34196,1220.49235,1223.54202,1297.15051,1358.85129,NA,NA,NA,"EU",24.7958333333333,3103,0.0665918687238069,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Northern Europe","Europe","Europe","Finland"
"65","france",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,3,0,40760,106,34,9,11,9,1310,36098,0,0,0,0,0,60585661.83527,61645623.01015,63644993.16133,66044914.26573,68440898.83897,NA,943.79672,956.44007,984.18678,1018.54347,1053.09064,NA,50,"france","EU",27.5557251908397,21232,0.434131704115358,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Western Europe","Europe","Europe","France"
"66","g77/china",1237,645,378,374,619,0,519,607,501,354,516,300,760,342,707,764,1995,1507,4,4,2,5,2,4,4,6,4,7,12,3,7,6,33,0,0,2,3,2,1,1,5,3,2,1,1,6,3,2,1,1,7,12,13,14,39,7065,7065,39,NA,NA,NA,NA,NA,NA,2516,1594,1586,1492,3130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,"G77/China","g77/china",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","gabon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,5,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
"68","gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,20,4,4,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3549.83246,NA,NA,NA,NA,NA,1.55688,NA,NA,NA,"African Group",NA,NA,NA,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa","Gambia"
"69","georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,4,4,25,NA,NA,NA,NA,NA,74560.60281,134781.33588,137011.81677,136905.14011,152555.08014,NA,18.47704,33.49284,34.12116,34.15187,38.11074,NA,NA,NA,"georgia",6.25,298,0.00379448711082859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western Asia","Asia","Asia","Georgia"
"70","germany",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40760,106,35,13,19,12,1164,30409,0,0,0,0,0,109562637.77136,114128210.99532,122459831.74878,134429819.51545,141433504.59934,NA,1345.14585,1395.42516,1489.89193,1626.32963,1701.46761,NA,54,"germany","EU",26.1245704467354,20239,0.456623606136718,"EU",NA,NA,NA,NA,NA,NA,NA,NA,"EU","Western Europe","Europe","Europe","Germany"
"71","ghana",0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10597,20,10,3,6,6,5,16,41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,"ghana","African Group",3.2,107,0.0027237433373795,"African Group",NA,NA,NA,NA,NA,NA,"African Group",NA,NA,"Sub-Saharan Africa","Africa","Africa",NA
