actor,represents_alliance,alliance,host_side_event_igc1,host_side_event_igc2,host_side_event_igc3,frq_sci,total_time,agg_total_time,agg_frq_sci,participants_CBD_cop18,participants_BBNJ_igc1,participants_BBNJ_igc2,participants_BBNJ_igc3,total_publications,total_citations,avg_citation,degree_centrality,eigen_centrality,agg_total_publications,agg_total_citations,r,indegree
cameroon,cameroon,African Group,0,0,0,7,1733,9333,8,10,0,3,NA,4,27,6.75,49,9.7171526340918e-4,715,10755,"cameroon, cameroon",0
canada,canada,canada,0,2,0,28,12471,12471,28,36,9,9,NA,962,39558,41.1205821205821,13364,0.389019661139583,962,39558,"norway, usa, norway, norway, canada, federated states of micronesia, norway, canada, new zealand, peru, palestine, iceland, switzerland, canada, philippines, sri lanka, philippines, new zealand, australia, ecuador, federated states of micronesia, norway, usa, singapore, new zealand, monaco, turkey, switzerland, switzerland, australia, eu, new zealand, eu, monaco, iceland, federated states of micronesia, peru, canada",16
cape verde,cape verde,African Group,NA,NA,NA,NA,NA,9333,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,10755,NA,0
central african republic,central african republic,African Group,NA,NA,NA,NA,NA,9333,8,3,0,0,NA,2,7,3.5,17,2.82015419620183e-4,715,10755,NA,0
chad,chad,African Group,NA,NA,NA,NA,NA,9333,8,5,0,0,NA,NA,NA,NA,NA,NA,715,10755,NA,0
chile,CLAM,CLAM,0,0,0,1,605,13452,21,3,7,6,NA,264,5523,20.9204545454545,4012,0.108317068761903,1779,23382,"ecuador, guatemala, ecuador, guatemala, brazil, peru, chile",4
china,china,china,0,0,0,30,13247,13247,30,39,19,18,NA,1440,17964,12.475,5765,0.148000742377862,1440,17964,"palestine, algeria, belize, barbados, togo, philippines, myanmar, morocco, ecuador, guatemala, sudan, iran, china, mauritius, palestine, barbados, tonga, barbados, palestine, palestine, algeria, china, iran, papua new guinea, palestine, barbados, fiji, algeria, bangladesh, argentina, singapore, chile, japan, norway, norway, new zealand, cuba, eritrea, india, papua new guinea, colombia, mauritius, seychelles, palestine, china, sri lanka, palestine, algeria, belize, federated states of micronesia, togo, eritrea, seychelles, palestine, algeria, samoa, kenya, palestine, algeria, belize, vanuatu, philippines, nigeria, palestine, trinidad and tobago, uruguay, china, palestine, trinidad and tobago, solomon islands, india, indonesia, eritrea, cameroon, nigeria, morocco, palestine, trinidad and tobago, india, singapore, china, chile, cuba, cameroon, palestine, algeria, trinidad and tobago, solomon islands, india, papua new guinea, singapore, philippines, federated states of micronesia, india, indonesia, philippines, cameroon, palestine, bahamas, algeria, india, peru, palestine, china, eritrea, philippines, indonesia, vanuatu, cameroon, kenya, bahamas, singapore, indonesia, seychelles, mauritius, philippines, thailand, bangladesh, china, cameroon, singapore, indonesia, sri lanka, palestine, jamaica, nauru, indonesia, palestine, algeria, jamaica, palestine, palestine, algeria, usa, palestine, eu, algeria, palestine, palestine, algeria, philippines, ecuador, federated states of micronesia, palestine, palestine, philippines, algeria, singapore, ecuador, philippines, bangladesh, china, palestine, fiji, barbados, norway, indonesia, china, senegal, palestine, palestine, algeria, algeria, fiji, indonesia, singapore, china, ecuador, sri lanka, palestine, fiji, algeria, sri lanka, indonesia, philippines, palestine, belize, barbados, fiji, thailand, togo, philippines, myanmar, morocco, ecuador, guatemala, federated states of micronesia, indonesia, eritrea, china, india, federated states of micronesia, cameroon, mali, barbados, tonga, nauru, nepal, barbados, palestine, palestine, china, iran, papua new guinea, sri lanka, cuba, palestine, barbados, fiji, algeria, bangladesh, argentina, singapore, chile, japan, palestine, algeria, federated states of micronesia, india, singapore, philippines, thailand, china, senegal, sri lanka, palestine, algeria, belize, palestine, trinidad and tobago, indonesia, eritrea, cameroon, china, nigeria, palestine, trinidad and tobago, solomon islands, federated states of micronesia, india, indonesia, papua new guinea, singapore, philippines, jamaica, china, chile, palestine, trinidad and tobago, cuba, cameroon, india, papua new guinea, philippines, federated states of micronesia, palestine, trinidad and tobago, trinidad and tobago, indonesia, philippines, cameroon, iran, palestine, bahamas, algeria, india, belize, jamaica, indonesia, china, philippines, senegal, palestine, algeria, tuvalu, china, cameroon, togo, kenya, sri lanka, morocco, palestine, algeria, bahamas, singapore, india, indonesia, seychelles, palestine, algeria, belize, bahamas, indonesia, singapore, togo, china, mauritius, palestine, algeria, philippines, china, algeria, jamaica, nauru, singapore, eu, jamaica, china, thailand, singapore, canada, senegal, philippines, samoa, algeria, indonesia, marshall islands, belize, china, singapore, palestine, algeria, belize, federated states of micronesia, tanzania, sierra leone, eritrea, viet nam, palestine, algeria, saint lucia, china, new zealand, palestine, algeria, tuvalu, nigeria, singapore, china, indonesia, philippines, togo, eu, sri lanka, cuba, tuvalu, palestine, tuvalu, palestine, nauru, singapore, philippines, indonesia, maldives, palestine, saint lucia, cuba, china, saint lucia, china, costa rica, costa rica, belize, eritrea, china, china, china, china, usa, singapore, maldives, cuba, russian federation, thailand, indonesia, ecuador, mauritius, sri lanka, nicaragua, palestine, algeria, fiji, sri lanka, philippines, indonesia, palestine, barbados, nigeria, fiji, sri lanka, algeria, indonesia, norway, cameroon, indonesia, ghana, china, philippines, palestine, indonesia, indonesia, fiji, palestine, philippines, togo, togo, mauritius, cameroon, sri lanka, barbados, fiji, philippines, iran, sri lanka, algeria, indonesia, palestine, eritrea, philippines, indonesia, singapore, belize, nauru, palestine, jamaica, indonesia, sri lanka, palestine, algeria, nauru, palestine, algeria, trinidad and tobago, solomon islands, seychelles, indonesia, thailand, algeria, trinidad and tobago, solomon islands, india, philippines, brazil, barbados, algeria, fiji, philippines, palestine, algeria, nauru, sri lanka, nauru, cuba, thailand, china, ecuador, palestine, jamaica, cameroon, indonesia, russian federation, palestine, algeria, barbados, fiji, ecuador, federated states of micronesia, sri lanka, philippines, egypt, indonesia, palestine, barbados, federated states of micronesia, india, palestine, nauru, cuba, usa, palestine, usa, norway, palestine, mexico, indonesia, nigeria, indonesia, tuvalu, togo, palestine, indonesia, palestine, cameroon, senegal, togo, maldives, bangladesh, nigeria, maldives, palestine, costa rica, singapore, singapore, bangladesh, bangladesh, eritrea, cuba, cuba, ecuador, federated states of micronesia, federated states of micronesia, federated states of micronesia, china, palestine, usa, indonesia, bangladesh, cameroon, algeria, solomon islands, singapore, trinidad and tobago, algeria, singapore, ecuador, bangladesh, indonesia, senegal, palestine, algeria, indonesia, singapore, china, philippines, sri lanka, china, palestine, singapore, philippines, palestine, costa rica, eritrea, china, singapore, maldives, cuba, russian federation, thailand, philippines, indonesia, cameroon, ecuador, mauritius, mauritius, sri lanka, india, federated states of micronesia, senegal, indonesia, palestine, algeria, trinidad and tobago, solomon islands, norway, china, thailand, palestine, algeria, trinidad and tobago, solomon islands, india, philippines, philippines, philippines, china, singapore, seychelles, senegal, senegal, nigeria, algeria, jamaica, algeria, nauru, china, sri lanka, palestine, jamaica, nauru, cuba, senegal, thailand, china, ecuador, sri lanka, indonesia, nauru, palestine, jamaica, philippines, china, usa, palestine, nauru, south africa, nigeria, china, new zealand, palestine, usa, trinidad and tobago, sri lanka, solomon islands, sierra leone, china, philippines, indonesia, palestine, sri lanka, palestine, costa rica, federated states of micronesia, china, maldives, philippines, indonesia, federated states of micronesia, sri lanka, belize, costa rica, china, singapore, indonesia, sierra leone, sierra leone, fiji, ecuador, norway, sierra leone, philippines, palestine",67
colombia,CLAM,CLAM,0,0,0,4,3629,13452,21,6,5,3,NA,66,471,7.13636363636364,1047,0.0248192641556995,1779,23382,"colombia, turkey, canada, peru",3
comoros,comoros,African Group,NA,NA,NA,NA,NA,9333,8,1,0,0,NA,1,27,27,28,5.43310469831149e-4,715,10755,NA,0
"congo, democratic republic of","congo, democratic republic of",African Group,NA,NA,NA,NA,NA,9333,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,715,10755,NA,0
